total_examples,normalized_match_rate,exact_match_rate,multi_answer_score,baseline_name,dataset,split,total_eval_count,error_category_complete,error_category_partial,error_category_ambiguous,error_category_merged,error_category_wrong,error_category_no_answer,unanswerable_em_count,inconsistent_em_count
500,0.0,0.0,0.1090000000000002,llm_only,ramdocs,test,500,18.0,31.0,52.0,2.0,397.0,0.0,,
3610,0.0,0.0,0.2808731257969499,hybrid_rerank_reduced,ambigdocs,validation,3610,322.0,1065.0,567.0,16.0,1640.0,0.0,,
4992,0.0038060897435897435,0.0,,llm_only,faitheval,test,4992,,,,,,,0.0,0.0
500,0.0,0.0,0.7066666666666672,dense_norerank_full,ramdocs,test,500,250.0,149.0,42.0,4.0,55.0,0.0,,
3610,0.0,0.0,0.3792454821263683,hybrid_norerank_full,ambigdocs,validation,3610,544.0,1342.0,480.0,25.0,1219.0,0.0,,
3610,0.0,0.0,0.035926658752143494,llm_only,ambigdocs,validation,3610,5.0,149.0,152.0,5.0,3299.0,0.0,,
3610,0.3734072022160665,0.046814404432132965,,llm_only,nq_open,validation,3610,,,,,,,,
500,0.0,0.0,0.6840000000000006,hybrid_norerank_full,ramdocs,test,500,230.0,159.0,47.0,4.0,60.0,0.0,,
500,0.0,0.0,0.5046666666666674,hybrid_rerank_reduced,ramdocs,test,500,126.0,166.0,93.0,3.0,112.0,0.0,,
3610,0.0,0.0,0.37514861715692793,dense_norerank_full,ambigdocs,validation,3610,534.0,1353.0,429.0,26.0,1268.0,0.0,,
3610,0.0,0.0,0.37899650441894195,hybrid_rerank_full,ambigdocs,validation,3610,545.0,1338.0,478.0,26.0,1223.0,0.0,,
500,0.0,0.0,0.6846666666666672,hybrid_rerank_full,ramdocs,test,500,230.0,160.0,47.0,4.0,59.0,0.0,,
